date,top10_Liquid,top10_Market
2017-03-26,"['BTC', 'BTC', 'ETH', 'ETH', 'DASH', 'DASH', 'DCR', 'XMR', 'XMR', 'ETC']","['BTC', 'ETH', 'DASH', 'XRP', 'XMR', 'ETC', 'LTC', 'XEM', 'REP', 'MAID']"
2017-03-27,"['BTC', 'ETH', 'DASH', 'XMR', 'ZEC', 'ETC', 'BCN', 'LTC', 'XRP', 'DCR']","['BTC', 'ETH', 'DASH', 'XRP', 'XMR', 'LTC', 'ETC', 'XEM', 'REP', 'MAID']"
2017-03-28,"['BTC', 'ETH', 'DASH', 'LTC', 'XMR', 'ETC', 'XRP', 'ZEC', 'BTS', 'DCR']","['BTC', 'ETH', 'DASH', 'XRP', 'XMR', 'LTC', 'ETC', 'XEM', 'REP', 'MAID']"
2017-03-29,"['BTC', 'LTC', 'ETH', 'DASH', 'XRP', 'ETC', 'XMR', 'ZEC', 'XLM', 'DOGE']","['BTC', 'ETH', 'DASH', 'XRP', 'XMR', 'LTC', 'ETC', 'XEM', 'REP', 'MAID']"
2017-03-30,"['BTC', 'ETH', 'LTC', 'XRP', 'DASH', 'ETC', 'XMR', 'ZEC', 'REP', 'XLM']","['BTC', 'ETH', 'DASH', 'XRP', 'LTC', 'XMR', 'ETC', 'XEM', 'REP', 'MAID']"
2017-03-31,"['BTC', 'ETH', 'LTC', 'XRP', 'DASH', 'XMR', 'ETC', 'ZEC', 'XEM', 'REP']","['BTC', 'ETH', 'XRP', 'DASH', 'LTC', 'XMR', 'ETC', 'XEM', 'REP', 'MAID']"
2017-04-01,"['BTC', 'XRP', 'ETH', 'LTC', 'DASH', 'ETC', 'XLM', 'XMR', 'BTS', 'ZEC']","['BTC', 'ETH', 'XRP', 'DASH', 'LTC', 'XMR', 'ETC', 'XEM', 'REP', 'MAID']"
2017-04-02,"['BTC', 'ETH', 'XRP', 'LTC', 'DASH', 'ETC', 'DOGE', 'XLM', 'XMR', 'MAID']","['BTC', 'ETH', 'XRP', 'DASH', 'LTC', 'XMR', 'ETC', 'XEM', 'REP', 'MAID']"
2017-04-03,"['BTC', 'ETH', 'LTC', 'XRP', 'DASH', 'XMR', 'ETC', 'ZEC', 'MAID', 'DOGE']","['BTC', 'ETH', 'XRP', 'DASH', 'LTC', 'XMR', 'ETC', 'XEM', 'REP', 'MAID']"
2017-04-04,"['BTC', 'LTC', 'ETH', 'XRP', 'DASH', 'XMR', 'ETC', 'ZEC', 'XLM', 'DOGE']","['BTC', 'ETH', 'XRP', 'DASH', 'LTC', 'XMR', 'ETC', 'XEM', 'REP', 'MAID']"
2017-04-05,"['BTC', 'LTC', 'ETH', 'XRP', 'DASH', 'XMR', 'ETC', 'ZEC', 'DOGE', 'XLM']","['BTC', 'ETH', 'XRP', 'LTC', 'DASH', 'XMR', 'ETC', 'XEM', 'REP', 'MAID']"
2017-04-06,"['BTC', 'LTC', 'ETH', 'XRP', 'DASH', 'XMR', 'ETC', 'ZEC', 'DOGE', 'XLM']","['BTC', 'ETH', 'XRP', 'LTC', 'DASH', 'XMR', 'ETC', 'XEM', 'REP', 'MAID']"
2017-04-07,"['BTC', 'ETH', 'LTC', 'XRP', 'DASH', 'ETC', 'XMR', 'ZEC', 'DCR', 'DOGE']","['BTC', 'ETH', 'XRP', 'DASH', 'LTC', 'XMR', 'ETC', 'XEM', 'REP', 'MAID']"
2017-04-08,"['BTC', 'LTC', 'ETH', 'XRP', 'ZEC', 'DASH', 'ETC', 'XMR', 'DCR', 'DOGE']","['BTC', 'ETH', 'XRP', 'LTC', 'DASH', 'XMR', 'ETC', 'XEM', 'REP', 'MAID']"
2017-04-09,"['BTC', 'LTC', 'ETH', 'DASH', 'XRP', 'XMR', 'ETC', 'ZEC', 'MAID', 'DOGE']","['BTC', 'ETH', 'XRP', 'DASH', 'LTC', 'XMR', 'ETC', 'XEM', 'REP', 'MAID']"
2017-04-10,"['BTC', 'LTC', 'ETH', 'DASH', 'XRP', 'XMR', 'SC', 'ZEC', 'ETC', 'MAID']","['BTC', 'ETH', 'XRP', 'LTC', 'DASH', 'XMR', 'ETC', 'XEM', 'REP', 'MAID']"
2017-04-11,"['BTC', 'LTC', 'ETH', 'DASH', 'XRP', 'XMR', 'ETC', 'ZEC', 'PIVX', 'SC']","['BTC', 'ETH', 'XRP', 'LTC', 'DASH', 'XMR', 'ETC', 'XEM', 'REP', 'MAID']"
2017-04-12,"['BTC', 'ETH', 'LTC', 'DASH', 'XRP', 'XMR', 'ETC', 'PIVX', 'ZEC', 'MAID']","['BTC', 'ETH', 'XRP', 'LTC', 'DASH', 'XMR', 'ETC', 'XEM', 'REP', 'MAID']"
2017-04-13,"['BTC', 'ETH', 'LTC', 'DASH', 'XMR', 'XRP', 'ETC', 'ZEC', 'XLM', 'DOGE']","['BTC', 'ETH', 'XRP', 'DASH', 'LTC', 'XMR', 'ETC', 'XEM', 'REP', 'MAID']"
2017-04-14,"['BTC', 'ETH', 'LTC', 'DASH', 'ZEC', 'XRP', 'XMR', 'ETC', 'XEM', 'PIVX']","['BTC', 'ETH', 'XRP', 'LTC', 'DASH', 'XMR', 'ETC', 'XEM', 'REP', 'MAID']"
2017-04-15,"['BTC', 'ETH', 'LTC', 'DASH', 'XRP', 'XMR', 'ZEC', 'ETC', 'ARK', 'PIVX']","['BTC', 'ETH', 'XRP', 'LTC', 'DASH', 'XMR', 'ETC', 'XEM', 'REP', 'PIVX']"
