Date,BITW100
Thu Nov 23 2017 00:00:00 GMT+0000,11175.95
Fri Nov 24 2017 00:00:00 GMT+0000,11456.09
Sat Nov 25 2017 00:00:00 GMT+0000,11894.1
Sun Nov 26 2017 00:00:00 GMT+0000,12365.17
Mon Nov 27 2017 00:00:00 GMT+0000,12931.46
Tue Nov 28 2017 00:00:00 GMT+0000,13386.95
Wed Nov 29 2017 00:00:00 GMT+0000,13740.63
Thu Nov 30 2017 00:00:00 GMT+0000,12905.24
Fri Dec 01 2017 00:00:00 GMT+0000,13310.48
Sat Dec 02 2017 00:00:00 GMT+0000,14228.09
Sun Dec 03 2017 00:00:00 GMT+0000,14310.78
Mon Dec 04 2017 00:00:00 GMT+0000,14685.52
Tue Dec 05 2017 00:00:00 GMT+0000,15252.15
Wed Dec 06 2017 00:00:00 GMT+0000,15476.25
Thu Dec 07 2017 00:00:00 GMT+0000,16911.17
Fri Dec 08 2017 00:00:00 GMT+0000,19256.88
Sat Dec 09 2017 00:00:00 GMT+0000,19076.19
Sun Dec 10 2017 00:00:00 GMT+0000,18014.16
Mon Dec 11 2017 00:00:00 GMT+0000,17711.1
Tue Dec 12 2017 00:00:00 GMT+0000,19752.52
Wed Dec 13 2017 00:00:00 GMT+0000,21801.06
Thu Dec 14 2017 00:00:00 GMT+0000,21388.07
Fri Dec 15 2017 00:00:00 GMT+0000,22939.36
Sat Dec 16 2017 00:00:00 GMT+0000,23417.54
Sun Dec 17 2017 00:00:00 GMT+0000,24992.75
Mon Dec 18 2017 00:00:00 GMT+0000,25234.67
Tue Dec 19 2017 00:00:00 GMT+0000,26636.51
Wed Dec 20 2017 00:00:00 GMT+0000,26605.25
Thu Dec 21 2017 00:00:00 GMT+0000,27033.02
Fri Dec 22 2017 00:00:00 GMT+0000,26795.06
Sat Dec 23 2017 00:00:00 GMT+0000,23061.98
Sun Dec 24 2017 00:00:00 GMT+0000,24780.75
Mon Dec 25 2017 00:00:00 GMT+0000,23516.43
Tue Dec 26 2017 00:00:00 GMT+0000,24095.05
Wed Dec 27 2017 00:00:00 GMT+0000,26068.62
Thu Dec 28 2017 00:00:00 GMT+0000,25982.33
Fri Dec 29 2017 00:00:00 GMT+0000,24667.27
Sat Dec 30 2017 00:00:00 GMT+0000,26762.96
Sun Dec 31 2017 00:00:00 GMT+0000,24177.32
Mon Jan 01 2018 00:00:00 GMT+0000,26323.73
Tue Jan 02 2018 00:00:00 GMT+0000,26378.36
Wed Jan 03 2018 00:00:00 GMT+0000,28729.58
Thu Jan 04 2018 00:00:00 GMT+0000,31423.55
Fri Jan 05 2018 00:00:00 GMT+0000,31643.76
Sat Jan 06 2018 00:00:00 GMT+0000,32603.08
Sun Jan 07 2018 00:00:00 GMT+0000,34027.35
